,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
31,5285446,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",NC,370939701025009,70,1,2.0,0.064,0
32,55378459,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MI,261319701002078,60,1,2.0,1.3,1
33,45006804,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",CA,60290004001014,60,1,2.0,1.3,1
34,12342133,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",KY,210819201003041,60,1,35.0,3.0,1
35,46222368,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,CT,90093519002021,60,0,0.0,0.0,1
36,17594765,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",TX,480539603004028,60,1,35.0,3.0,1
37,48921946,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",ID,160679704001190,60,1,25.0,3.0,1
38,60000259,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NY,360179702005015,60,0,0.0,0.0,1
39,72780036,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",WI,551259502003142,60,1,2.0,1.3,1
40,54432390,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MA,250072002003060,60,1,2.0,1.3,1
41,25646621,58435,3765617,"Armstrong Utilities, Inc.","Armstrong Utilities, Inc.","Armstrong Holdings, Inc.",130071,"Armstrong Holdings, Inc.",OH,390998124003015,50,0,0.0,0.0,1
42,35160620,59538,3474327,"Cable One, Inc.",Cable ONE,"Cable One, Inc.",130183,"Cable One, Inc.",AL,11210102012091,42,1,1000.0,50.0,1
43,24176077,57842,17326893,Matt Hemmer,Ptera,Ptera Inc.,310058,Ptera Inc.,WA,530630141002071,70,1,25.0,10.0,1
44,35029387,59534,9232554,"Telecommunications Management, LLC d/b/a NewWave Communications",NewWave,Canle One,130183,"Cable One, Inc.",TX,481499703004013,42,1,1000.0,50.0,1
45,4841533,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",IL,171430005003053,70,1,2.0,0.064,0
46,71992406,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",WV,541090031003000,60,1,25.0,3.0,1
47,57369668,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MO,290270702002085,60,1,2.0,1.3,1
48,64476515,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",OR,410359703001043,60,1,2.0,1.3,1
49,67320657,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TN,471670405002006,60,1,2.0,1.3,1
50,29934189,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",KS,200610008002191,12,1,10.0,1.0,1
51,58086384,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NE,310539638002034,60,0,0.0,0.0,1
52,3890850,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",OK,400819614004006,70,1,2.0,0.064,0
53,38100047,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Kentucky,AT&T Inc.,130077,AT&T Inc.,KY,210830208002010,70,1,10.0,1.0,0
54,26916765,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,SC,450790105012009,43,1,940.0,35.0,1
55,21204532,56692,16082927,E-Vergent.Com LLC,"E-vergent.com, LLC","E-Vergent.com, LLC",160115,"E-Vergent.com, LLC",IL,170898507032021,70,1,65.0,10.0,1
56,58825596,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",NV,320239604023071,60,1,2.0,1.3,1
57,55942708,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MN,271711004002010,60,1,25.0,3.0,1
58,4214523,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",VA,510839302011051,70,1,2.0,0.064,0
59,37528718,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Florida,AT&T Inc.,130077,AT&T Inc.,FL,120610509043091,11,1,12.0,0.512,0
